"中文名","英文名","DS5","DSE","DS5自适应扳机","DSE自适应扳机","DS5触觉反馈","DSE触觉反馈","DS5触摸板","DSE触摸板","分组","备注"
"绝对漂移","Absolute Drift","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"在我们之后","After Us","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"无限机兵","AI Limit","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"心灵杀手 II","Alan Wake II","本地支持","本地支持","本地支持","本地支持","限制支持","限制支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 限制支持，DSE 限制支持"
"亚历克斯·琼斯：新世界秩序战争","Alex Jones: NWO Wars","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"爱丽丝：疯狂回归","Alice: Madness Returns","需手动修复","需手动修复","未列入","未列入","未列入","未列入","未列入","未列入","需要手动修复/改动",""
"外星死亡风暴","Alien Deathstorm","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"异形虫群：反应式空投","Alien Swarm: Reactive Drop","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"异形：精英火力小队","Aliens: Fireteam Elite","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"阿尔法·诺莫斯","Alpha Nomos","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"兽王（创世纪）","Altered Beast (Genesis)","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"阿尔忒亚：阿菲利之怒","Altheia: The Wrath of Aferi","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"冒险家阿曼达2","Amanda the Adventurer 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"冒险家阿曼达3","Amanda the Adventurer 3","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"美国麦基的爱丽丝（2011）","American McGee's Alice (2011)","需手动修复","需手动修复","未列入","未列入","未列入","未列入","未列入","未列入","需要手动修复/改动",""
"美洲地带 - 探险家的遗产 (2025)","Amerzone - The Explorer's Legacy (2025)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"安吉琳时代","Angeline Era","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"阿尼玛记忆之门：I & II 重制版","Anima Gate of Memories: I & II Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"动物井","Animal Well","本地支持","未列入","未列入","未列入","本地支持","未列入","本地支持","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","触觉反馈：DS5 本地支持，DSE 未列入；触摸板：DS5 触摸板 本地支持，原生支持，Native Support. Interact with dust and vines using the touch pad."
"纪元：突变","ANNO: Mutationem","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"安东布拉斯","Antonblast","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"光圈科技打工记","Aperture Desk Job","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Apex 英雄","Apex Legends","本地支持","本地支持","本地支持","本地支持","限制支持","限制支持","需手动修复","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 限制支持，DSE 限制支持；触摸板：DS5 触摸板 需手动修复，第三方工具/自定义配置，Custom config. Requires reWASD application to run. Activate shield and changes weapons."
"远日点","Aphelion","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"荒神2","Aragami 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"ARC攻略","ARC Raiders","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"北极觉醒","Arctic Awakening","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"阿瑞斯的呼吸","Ares Breathes","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"阿丽亚娜和长者法典","Ariana and the Elder Codex","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"明日方舟：终末地","Arknights: Endfield","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"武装重铸者","Arma Reforger","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"阿马图斯","Armatus","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"装甲核心 VI：境界天火","Armored Core VI: Fires of Rubicon","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"拉力赛的艺术","Art of Rally","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"人工侦探","Artificial Detective","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"阿蒂斯影响","Artis Impact","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Arzette：法拉莫尔的宝石","Arzette: The Jewel of Faramore","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"刺客信条：幻景","Assassin's Creed Mirage","本地支持","本地支持","未列入","未列入","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","触觉反馈：DS5 本地支持，DSE 本地支持"
"刺客信条：影","Assassin's Creed Shadows","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"刺客信条：英灵殿","Assassin's Creed Valhalla","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"神力科莎","Assetto Corsa","限制支持","限制支持","需手动修复","需手动修复","未列入","未列入","未列入","未列入","限制支持","自适应扳机：DS5 需手动修复，DSE 需手动修复"
"阿斯特菲尔","Asterfel","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"天文勘探者","Astro Prospector","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"在命运的尽头","At Fate's End","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"雷斯勒里亚纳的炼金工房：红色炼金术士与白色守护者","Atelier Resleriana: The Red Alchemist & the White Guardian","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"萝乐娜的炼金工房：亚兰德之炼金术士 DX","Atelier Rorona: The Alchemist of Arland DX","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"莱莎的炼金工房2：失落的传说与秘密妖精DX","Atelier Ryza 2: Lost Legends & the Secret Fairy DX","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"莱莎的炼金工房3：终结的炼金术士&秘密钥匙DX","Atelier Ryza 3: Alchemist of the End & the Secret Key DX","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"莱莎的炼金工房：常暗与秘密藏身处 DX","Atelier Ryza: Ever Darkness & the Secret Hideout DX","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"苏菲的炼金工房：不可思议书的炼金术士","Atelier Sophie: The Alchemist of the Mysterious Book","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Atomfall","Atomfall","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"原子之心","Atomic Heart","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"阿凡达：潘多拉边境","Avatar: Frontiers of Pandora","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"觉醒 - 星界之刃","Awaken - Astral Blade","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"绫纱：沉默之影","Ayasa: Shadows of Silence","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"后4血","Back 4 Blood","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"坏结局剧院","Bad End Theater","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"巴拉特罗","Balatro","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"巴尔迪的基础经典重制版","Baldi's Basics Classic Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"博德之门3","Baldur's Gate 3","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"弹道NG","BallisticNG","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Bandle Tale：英雄联盟故事","Bandle Tale: A League of Legends Story","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"放逐者：新伊甸园的幽灵","Banishers: Ghosts of New Eden","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"班卓熊大冒险（Banjo: Recompiled）","Banjo-Kazooie (Banjo: Recompiled)","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"愚人宴","Banquet for Fools","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"巴腾凯托斯 I & II 高清重制版","Baten Kaitos I & II HD Remaster","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"战地 6","Battlefield 6","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"BeamNG.drive","BeamNG.drive","本地支持","本地支持","本地支持","本地支持","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持"
"轮回之兽","Beast of Reincarnation","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"贝尔的号角","Bel's Fanfare","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"超越银河系","Beyond Galaxyland","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"生物女神：世界末日开始","Bio Goddess : Doomsday Begins","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"鸟笼","Birdcage","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"黑色沙漠","Black Desert","未列入","未列入","未列入","未列入","未列入","未列入","需手动修复","未列入","触摸板页面补充（第三方/Steam）","触摸板：DS5 触摸板 需手动修复，第三方工具/自定义配置，Custom config. Requires reWASD application to run. Navigates map, activates Special Reward and special movement (Z and X)."
"布莱克梅萨","Black Mesa","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"黑神话：悟空","Black Myth: Wukong","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"银翼杀手：增强版","Blade Runner: Enhanced Edition","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"亵渎神灵","Blasphemous","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"亵渎2","Blasphemous 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"BlazBlue：熵效应","BlazBlue: Entropy Effect","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"死神：魂魄觉醒","Bleach: Rebirth of Souls","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"血液：刷新供应","Blood: Refreshed Supply","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"血贼","Bloodthief","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"蓝色王子","Blue Prince","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"回旋镖 X","Boomerang X","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"荆棘：山王","Bramble: The Mountain King","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"勇敢默认飞天仙子高清重制版","Bravely Default Flying Fairy HD Remaster","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"龙战士 IV","Breath of Fire IV","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"BROK - 出生尾巴，新的圣诞节","BROK - Natal Tail, A New Christmas","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"打破调查员","Brok the InvestiGator","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"布西4D","Bubsy 4D","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"铅弹轮盘赌","Buckshot Roulette","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"臭虫","Bugsnax","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"凯恩","Cairn","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"使命召唤：黑色行动 6","Call of Duty: Black Ops 6","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"使命召唤：黑色行动 7","Call of Duty: Black Ops 7","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"使命召唤：黑色行动 冷战","Call of Duty: Black Ops Cold War","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"使命召唤：现代战争","Call of Duty: Modern Warfare","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"使命召唤：现代战争 II","Call of Duty: Modern Warfare II","本地支持","本地支持","本地支持","本地支持","限制支持","限制支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 限制支持，DSE 限制支持"
"使命召唤：现代战争 III","Call of Duty: Modern Warfare III","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"使命召唤：战区 2.0","Call of Duty: Warzone 2.0","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"野性的呼唤：钓鱼者","Call of the Wild: The Angler","本地支持","本地支持","本地支持","本地支持","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持"
"卡普空格斗合集 2","Capcom Fighting Collection 2","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"血腥船长（海狼工作室）","Captain Blood (Seawolf Studio)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"商队沙女巫","Caravan SandWitch","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"恶魔城主宰合集","Castlevania Dominus Collection","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"恶魔城：贝尔蒙特的诅咒","Castlevania: Belmont's Curse","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"猫的探索 II","Cat Quest II","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"猫咪斗恶龙 3","Cat Quest III","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"猫武士","Cat Warrior","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"间接伤害：重新设计","Catlateral Damage: Remeowstered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"连锁回声","Chained Echoes","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"太阳之子","Children of the Sun","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"草莲纱 68K","Cho Ren Sha 68K","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"克拉顿X3","Cladun X3","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"光与影：33号远征","Clair Obscur: Expedition 33","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"冲突II","Clash II","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"清洁地球","Clean Up Earth","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"钟楼：倒回","Clock Tower: Rewind","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Cloudbuilt","Cloudbuilt","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"克劳德海姆","Cloudheim","本地支持","未列入","未列入","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","触觉反馈：DS5 本地支持，DSE 未列入"
"茧","Cocoon","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"代码静脉II","Code Vein II","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"极度深寒","Cold Fear","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Concubine","Concubine","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"义务兵","Conscript","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"康斯坦斯","Constance","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"内容警告","Content Warning","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"魂斗罗：加卢加行动","Contra: Operation Galuga","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"走私警察","Contraband Police","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"控制谐振","Control Resonant","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"科尔杜拉","Cordura","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"犯罪现场清洁工","Crime Scene Cleaner","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"赤红沙漠","Crimson Desert","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"核心危机：最终幻想 VII Reunion","Crisis Core: Final Fantasy VII Reunion","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Crisol：偶像剧场","Crisol: Theater of Idols","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"鳄鱼：戈布斯传奇 (2025)","Croc: Legend of the Gobbos (2025)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"克洛诺斯：新黎明","Cronos: The New Dawn","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"克苏鲁：宇宙深渊","Cthulhu: The Cosmic Abyss","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"立方奥德赛","Cubic Odyssey","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"猩红雄鹿的诅咒","Curse of the Crimson Stag","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"网络骑士：闪点","Cyber Knights: Flashpoint","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"赛博朋克 2077","Cyberpunk 2077","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"网络出租车","CyberTaxi","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
